production_date,plant_id,material_id,quantity_produced,production_hours_used,quality_pass_rate
2026-01-03,PLANT001,SKU001,30,75.0,0.97
2026-01-03,PLANT001,SKU003,45,45.0,0.99
2026-01-03,PLANT002,SKU007,80,40.0,0.98
2026-01-04,PLANT001,SKU002,20,60.0,0.96
2026-01-04,PLANT002,SKU008,65,32.5,0.99
2026-01-04,PLANT003,SKU011,25,43.75,0.95
2026-01-05,PLANT001,SKU005,28,56.0,0.97
2026-01-05,PLANT002,SKU009,90,67.5,0.98
2026-01-05,PLANT003,SKU013,10,35.0,0.94
2026-01-06,PLANT001,SKU001,25,62.5,0.98
2026-01-06,PLANT002,SKU010,50,50.0,0.99
2026-01-06,PLANT003,SKU012,18,40.5,0.96
2026-01-07,PLANT001,SKU004,35,52.5,0.97
2026-01-07,PLANT002,SKU007,70,35.0,0.98
2026-01-07,PLANT003,SKU015,40,30.0,0.99
2026-01-08,PLANT001,SKU006,15,37.5,0.96
2026-01-08,PLANT002,SKU009,85,63.75,0.97
2026-01-08,PLANT003,SKU014,6,24.0,0.95
2026-01-09,PLANT001,SKU002,22,66.0,0.97
2026-01-09,PLANT002,SKU008,75,37.5,0.98
2026-01-09,PLANT003,SKU011,20,35.0,0.96
2026-01-10,PLANT001,SKU001,28,70.0,0.98
2026-01-10,PLANT002,SKU007,90,45.0,0.99
2026-01-10,PLANT003,SKU013,8,28.0,0.94
