order_id,customer_id,customer_name,material_id,quantity,order_date,requested_delivery_date,priority
ORD10001,CUST001,ABC Manufacturing Inc,SKU001,25,2026-01-05,2026-01-20,High
ORD10001,CUST001,ABC Manufacturing Inc,SKU003,50,2026-01-05,2026-01-20,High
ORD10002,CUST002,XYZ Industrial Supply,SKU002,15,2026-01-06,2026-01-22,Medium
ORD10003,CUST003,Delta Engineering,SKU005,30,2026-01-06,2026-01-21,High
ORD10003,CUST003,Delta Engineering,SKU007,60,2026-01-06,2026-01-21,High
ORD10004,CUST004,Omega Systems,SKU001,20,2026-01-07,2026-01-25,Medium
ORD10005,CUST005,Sigma Controls Ltd,SKU004,40,2026-01-07,2026-01-23,Low
ORD10006,CUST001,ABC Manufacturing Inc,SKU006,12,2026-01-08,2026-01-26,Medium
ORD10007,CUST006,Theta Automation,SKU009,100,2026-01-08,2026-01-24,High
ORD10008,CUST007,Lambda Hydraulics,SKU011,22,2026-01-09,2026-01-27,Medium
ORD10009,CUST002,XYZ Industrial Supply,SKU013,8,2026-01-09,2026-01-28,Low
ORD10010,CUST008,Epsilon Manufacturing,SKU002,18,2026-01-10,2026-01-29,Medium
ORD10011,CUST009,Phi Industries,SKU008,80,2026-01-10,2026-01-27,Low
ORD10012,CUST003,Delta Engineering,SKU012,16,2026-01-11,2026-01-30,High
ORD10013,CUST010,Kappa Systems,SKU014,5,2026-01-11,2026-02-01,High
ORD10014,CUST004,Omega Systems,SKU015,45,2026-01-12,2026-01-30,Medium
ORD10015,CUST005,Sigma Controls Ltd,SKU010,70,2026-01-12,2026-01-31,Medium
ORD10016,CUST006,Theta Automation,SKU001,28,2026-01-13,2026-02-02,High
ORD10017,CUST007,Lambda Hydraulics,SKU005,35,2026-01-13,2026-02-03,Medium
ORD10018,CUST008,Epsilon Manufacturing,SKU003,65,2026-01-14,2026-02-04,Low
